From Date,To Date,PM2.5(µg/m3),PM10(µg/m3),NO(µg/m3),NO2(µg/m3),NOx(ppb),CO(mg/m3)
01-09-2021 00:00,01-09-2021 01:00,8.56,38.67,11.33,15.89,27.22,1.25
01-09-2021 01:00,01-09-2021 02:00,3.81,53.46,9.23,15.29,24.53,1.19
01-09-2021 02:00,01-09-2021 03:00,7.62,45.26,8.86,15.08,23.94,1.08
01-09-2021 03:00,01-09-2021 04:00,5.62,47.56,10.53,15.35,25.88,1.03
01-09-2021 04:00,01-09-2021 05:00,18.71,46.48,10.4,15.39,25.79,1.11
01-09-2021 05:00,01-09-2021 06:00,18.38,61.94,8.64,15.1,23.75,1.14
01-09-2021 06:00,01-09-2021 07:00,34.12,70.21,8.96,14.97,23.92,1.01
01-09-2021 07:00,01-09-2021 08:00,10.25,14.84,10.27,14.69,24.96,0.96
01-09-2021 08:00,01-09-2021 09:00,7.35,4.76,9.26,14.47,23.73,0.99
01-09-2021 09:00,01-09-2021 10:00,13.05,17.16,9.99,14.69,24.67,0.92
01-09-2021 10:00,01-09-2021 11:00,6.22,3.62,10.58,14.67,25.25,0.92
01-09-2021 11:00,01-09-2021 12:00,10.25,6.04,11.07,14.93,26,2.45
01-09-2021 12:00,01-09-2021 13:00,8.76,7.1,10.08,14.76,24.85,1.68
01-09-2021 13:00,01-09-2021 14:00,21.36,43.5,8.56,15.05,23.61,1.91
01-09-2021 14:00,01-09-2021 15:00,13.17,30.51,8.96,15.3,24.26,1.33
01-09-2021 15:00,01-09-2021 16:00,None,10.52,9.39,15.22,24.61,1.14
01-09-2021 16:00,01-09-2021 17:00,None,17.09,8.44,14.82,23.26,1.17
01-09-2021 17:00,01-09-2021 18:00,None,41.93,8.33,15.1,23.43,1.29
01-09-2021 18:00,01-09-2021 19:00,None,36.3,9.04,15.43,24.47,1.29
01-09-2021 19:00,01-09-2021 20:00,2.59,29.54,9.43,15.85,25.28,1.42
01-09-2021 20:00,01-09-2021 21:00,7.48,53.32,8.16,16.15,24.31,1.54
01-09-2021 21:00,01-09-2021 22:00,9.15,71.38,8.51,16.64,25.15,1.65
01-09-2021 22:00,01-09-2021 23:00,4.45,46.68,9.24,16.75,25.98,1.58
01-09-2021 23:00,02-09-2021 00:00,6.17,48.92,8.75,17.44,26.19,1.82
02-09-2021 00:00,02-09-2021 01:00,10.16,82.82,8.11,17.81,25.92,1.83
02-09-2021 01:00,02-09-2021 02:00,11.86,62.84,8.67,17.37,26.04,1.64
02-09-2021 02:00,02-09-2021 03:00,6.05,48.24,8.8,17.14,25.95,1.68
02-09-2021 03:00,02-09-2021 04:00,6.55,55.76,8.07,16.84,24.91,1.65
02-09-2021 04:00,02-09-2021 05:00,13.11,75.42,8.04,16.43,24.46,1.57
02-09-2021 05:00,02-09-2021 06:00,19.77,64.56,8.56,16.21,24.77,1.45
02-09-2021 06:00,02-09-2021 07:00,25.24,55.76,8.16,15.77,23.93,1.3
02-09-2021 07:00,02-09-2021 08:00,15.34,25.47,8.04,15.01,23.05,1.16
02-09-2021 08:00,02-09-2021 09:00,5.41,22.04,9.75,15.42,25.17,1.16
02-09-2021 09:00,02-09-2021 10:00,6.39,6.79,10.2,15.83,26.03,1.24
02-09-2021 10:00,02-09-2021 11:00,7.34,7.69,8.3,15.74,24.03,1.31
02-09-2021 11:00,02-09-2021 12:00,16.58,37.54,7.97,15.45,23.43,1.22
02-09-2021 12:00,02-09-2021 13:00,22.83,37.85,8.3,15.01,23.32,1.22
02-09-2021 13:00,02-09-2021 14:00,21.94,31.5,8.05,14.56,22.6,1.21
02-09-2021 14:00,02-09-2021 15:00,23.03,59.57,7.7,14.53,22.23,1.19
02-09-2021 15:00,02-09-2021 16:00,42.7,64.15,8.03,14.35,22.38,1.19
02-09-2021 16:00,02-09-2021 17:00,33.25,56.72,8.42,14.66,23.08,1.23
02-09-2021 17:00,02-09-2021 18:00,13.05,42.25,8.34,15.1,23.45,1.33
02-09-2021 18:00,02-09-2021 19:00,25.76,73.64,8,15.6,23.6,1.41
02-09-2021 19:00,02-09-2021 20:00,26.8,87.02,8.5,17.21,25.71,1.96
02-09-2021 20:00,02-09-2021 21:00,18.19,87.67,9,18.17,27.17,2.04
02-09-2021 21:00,02-09-2021 22:00,5.3,75.84,8.02,17.29,25.31,1.6
02-09-2021 22:00,02-09-2021 23:00,None,75.6,8.54,16.2,24.74,1.36
02-09-2021 23:00,03-09-2021 00:00,1.07,59,9.85,16.58,26.43,1.48
03-09-2021 00:00,03-09-2021 01:00,1.1,51.68,9.46,17.02,26.48,1.46
03-09-2021 01:00,03-09-2021 02:00,5.46,39.63,8.23,15.49,23.72,1.07
03-09-2021 02:00,03-09-2021 03:00,2.65,24.19,8.81,15.07,23.88,1.07
03-09-2021 03:00,03-09-2021 04:00,6.77,8.57,9.71,15.32,25.03,1.06
03-09-2021 04:00,03-09-2021 05:00,None,7.81,8.75,15.18,23.93,1.14
03-09-2021 05:00,03-09-2021 06:00,7.18,37.71,8.23,15.58,23.81,1.21
03-09-2021 06:00,03-09-2021 07:00,14.47,39.58,8.81,15.69,24.51,1.22
03-09-2021 07:00,03-09-2021 08:00,17.24,41.02,9.29,15.68,24.96,1.27
03-09-2021 08:00,03-09-2021 09:00,20.88,49.72,8.06,15.61,23.67,1.29
03-09-2021 09:00,03-09-2021 10:00,42.39,94.56,7.7,14.98,22.68,1.29
03-09-2021 10:00,03-09-2021 11:00,55.38,89.33,7.99,14.56,22.55,1.29
03-09-2021 11:00,03-09-2021 12:00,31.44,58.04,8.11,14.32,22.43,1.16
03-09-2021 12:00,03-09-2021 13:00,20.07,45.26,7.83,14.1,21.93,1.1
03-09-2021 13:00,03-09-2021 14:00,27.42,50.79,7.83,13.88,21.72,1.06
03-09-2021 14:00,03-09-2021 15:00,15.58,20.15,8.21,13.88,22.08,1.03
03-09-2021 15:00,03-09-2021 16:00,4.48,16.64,8.03,13.75,21.78,1.03
03-09-2021 16:00,03-09-2021 17:00,10.09,33.01,7.85,14.01,21.86,1.06
03-09-2021 17:00,03-09-2021 18:00,22.97,67.52,8.42,15.15,23.58,1.17
03-09-2021 18:00,03-09-2021 19:00,12,41.83,8.46,14.76,23.21,1.09
03-09-2021 19:00,03-09-2021 20:00,19.76,47.4,7.81,14.8,22.61,1.31
03-09-2021 20:00,03-09-2021 21:00,23.11,71.03,8.27,15.42,23.69,1.4
03-09-2021 21:00,03-09-2021 22:00,8.2,29.89,9.13,15.46,24.59,1.14
03-09-2021 22:00,03-09-2021 23:00,5.5,9.1,9.1,15.24,24.34,1.13
03-09-2021 23:00,04-09-2021 00:00,9.23,18.99,8.1,15.12,23.21,1.19
04-09-2021 00:00,04-09-2021 01:00,5.62,23.68,8.71,15.25,23.96,1.11
04-09-2021 01:00,04-09-2021 02:00,1.61,17.11,9.6,15.79,25.39,1.23
04-09-2021 02:00,04-09-2021 03:00,None,45.35,8.83,16.41,25.24,1.38
04-09-2021 03:00,04-09-2021 04:00,None,57.58,8.17,16.28,24.44,1.33
04-09-2021 04:00,04-09-2021 05:00,None,62.94,8.83,15.81,24.64,1.41
04-09-2021 05:00,04-09-2021 06:00,None,45.87,9.26,15.82,25.08,1.33
04-09-2021 06:00,04-09-2021 07:00,19.19,62.96,8.35,15.74,24.09,1.38
04-09-2021 07:00,04-09-2021 08:00,26.73,75.26,8.21,15.66,23.87,1.34
04-09-2021 08:00,04-09-2021 09:00,8.02,52.48,8.53,15.3,23.83,1.24
04-09-2021 09:00,04-09-2021 10:00,18.55,48.28,8.29,14.72,23,1.19
04-09-2021 10:00,04-09-2021 11:00,21.81,42.27,7.68,14.41,22.09,1.14
04-09-2021 11:00,04-09-2021 12:00,22.16,44.05,7.82,14.17,21.99,1.15
04-09-2021 12:00,04-09-2021 13:00,18.46,68.39,8.18,14.3,22.49,1.19
04-09-2021 13:00,04-09-2021 14:00,20.89,92.8,7.86,14.53,22.39,1.16
04-09-2021 14:00,04-09-2021 15:00,14.15,45.46,7.56,14.71,22.27,1.19
04-09-2021 15:00,04-09-2021 16:00,8.5,28.08,7.94,15.08,23.02,1.23
04-09-2021 16:00,04-09-2021 17:00,16.23,46.34,8.31,15.42,23.74,1.43
04-09-2021 17:00,04-09-2021 18:00,7.77,58.62,7.88,15.41,23.29,1.42
04-09-2021 18:00,04-09-2021 19:00,None,77.38,7.47,15.4,22.87,1.52
04-09-2021 19:00,04-09-2021 20:00,None,65.96,7.98,16.29,24.27,1.75
04-09-2021 20:00,04-09-2021 21:00,2.89,93.34,8.19,16.65,24.83,1.77
04-09-2021 21:00,04-09-2021 22:00,2.51,89.82,7.86,15.87,23.73,1.62
04-09-2021 22:00,04-09-2021 23:00,1.95,79.36,8.43,13.69,22.12,1.78
04-09-2021 23:00,05-09-2021 00:00,6.28,70.88,7.13,11.22,18.34,1.57
05-09-2021 00:00,05-09-2021 01:00,9.19,87.04,5.6,10.72,16.32,1.59
